id,Distance,Charge,SD,PPV,V,L,T,logD,logW,logSD,W2_D,sqrtW,ratio_VL,ratio_VT,ratio_LT,dominant,anomalous,sd_quartile,AF_V,AF_L,AF_T,hp_pred_resultant
65,500,1300.0,13.87,78.29,45.3,44.95,45.35,2.6989700043360187,3.113943352306837,1.1420764610732848,3380.0,36.05551275463989,1.007786429365962,0.9988974641675854,0.9911797133406836,T,1,1,0.5612887225562009,0.5569520547218815,0.5619082465325322,80.70712661693321
66,550,1750.0,13.15,84.74,48.94,48.85,48.98,2.740362689494244,3.2430380486862944,1.1189257528257768,5568.181818181818,41.83300132670378,1.001842374616172,0.999183340138832,0.9973458554512048,T,1,0,0.5637259408792488,0.5626892564763242,0.5641866895027708,86.81523494141109
67,600,1950.0,13.59,80.79,46.66,46.65,46.62,2.7781512503836434,3.290034611362518,1.1332194567324942,6337.5,44.15880433163923,1.00021436227224,1.0008580008580008,1.0006435006435006,V,1,1,0.5622262940856068,0.5621057998091203,0.5617443169796611,82.99149380035108
68,650,1800.0,15.32,68.04,39.2,39.25,39.4,2.812913356642856,3.255272505103306,1.1852587652965851,4984.615384615385,42.42640687119285,0.9987261146496816,0.9949238578680204,0.9961928934010152,T,1,1,0.5565106539969847,0.557220489014838,0.5593499940683979,70.43890304427558
69,700,1200.0,20.21,45.44,26.24,26.15,26.32,2.845098040014257,3.0791812460476247,1.305566313515304,2057.1428571428573,34.64101615137755,1.0034416826003825,0.9969604863221884,0.9935410334346504,T,1,2,0.5442571675819188,0.5423904318699381,0.5459164882147906,48.21250240319617
70,750,1150.0,22.12,39.85,23.02,22.95,23.05,2.8750612633917,3.060697840353612,1.3447851226326606,1763.3333333333333,33.91164991562634,1.003050108932462,0.998698481561822,0.9956616052060736,T,1,2,0.5402820112914596,0.5386391033509556,0.5409861146945327,42.60737821896808
71,800,1650.0,19.69,47.11,27.24,27.15,27.2,2.903089986991944,3.2174839442139063,1.2942457161381182,3403.125,40.62019202317981,1.003314917127072,1.001470588235294,0.9981617647058824,V,1,1,0.5451977566416739,0.5433964424677477,0.5443971725643734,49.96352180132544
72,850,1050.0,26.23,30.65,17.98,17.85,17.25,2.929418925714293,3.0211892990699383,1.4187982905903536,1297.0588235294117,32.4037034920393,1.007282913165266,1.04231884057971,1.0347826086956522,V,1,3,0.5328430403773544,0.5289904488729575,0.5112092573142026,33.74352039442372
73,900,1850.0,20.92,42.93,24.95,24.55,24.85,2.9542425094393248,3.2671717284030137,1.320561680195237,3802.777777777778,43.01162633521314,1.0162932790224033,1.004024144869215,0.987927565392354,V,1,2,0.5425422139438926,0.5338441423776579,0.5403676960523339,45.98720497457958
74,950,1300.0,26.35,28.87,17.86,17.65,17.95,2.977723605288848,3.113943352306837,1.4207806195485655,1778.9473684210527,36.05551275463989,1.0118980169971672,0.9949860724233984,0.9832869080779943,T,1,3,0.5326035787233577,0.5263411626241469,0.5352874713373053,33.53338338959369
75,1000,1950.0,22.65,38.37,22.25,22.05,22.15,3.0,3.290034611362518,1.3550682063488506,3802.5,44.15880433163923,1.0090702947845804,1.0045146726862304,0.9954853273137698,V,1,2,0.5394095514363245,0.5345609262548744,0.5369852388455993,41.24880610799963
76,1050,1100.0,31.66,23.55,13.69,13.45,13.65,3.0211892990699383,3.041392685158225,1.5005109105263372,1152.3809523809523,33.166247903554,1.0178438661710036,1.002930402930403,0.9853479853479852,V,1,3,0.524861781361096,0.5156604060852257,0.5233282188151176,26.083057456571627
77,1100,1250.0,31.11,24.15,14.03,13.85,13.95,3.041392685158225,3.096910013008056,1.4929000111087034,1420.4545454545455,35.35533905932738,1.0129963898916967,1.0057347670250896,0.992831541218638,V,1,3,0.5251494270947327,0.5184119433543868,0.5221549898768012,26.7162054762541
78,1150,1350.0,31.3,23.8,13.91,13.45,13.85,3.060697840353612,3.130333768495006,1.4955443375464486,1584.7826086956522,36.74234614174768,1.0342007434944238,1.004332129963899,0.9711191335740073,V,1,3,0.5250145992727404,0.5076525061264097,0.5227499784275669,26.494501332474144
79,1200,1500.0,30.98,24.29,14.12,13.9,14.05,3.0791812460476247,3.1760912590556813,1.4910814134231871,1875.0,38.72983346207417,1.0158273381294962,1.004982206405694,0.98932384341637,V,1,3,0.525497904951412,0.5173102605399877,0.5228927453659589,26.86975507791139
80,1250,1750.0,29.88,25.74,14.88,14.8,14.9,3.096910013008056,3.2430380486862944,1.475380593143361,2450.0,41.83300132670378,1.0054054054054054,0.9986577181208054,0.9932885906040269,T,1,3,0.5270491057384138,0.5242155083957342,0.5277575050740837,28.232663404584688
